player_height,pts,reb,ast,label
0.535714285714286,0.15789473684210525,0.9877300613496933,0.26495726495726496,2
0.785714285714286,0.06371191135734071,0.09202453987730061,0.02564102564102564,0
0.6428571428571432,0.0221606648199446,0.06134969325153374,0.03418803418803419,0
0.6071428571428572,0.10249307479224377,0.1411042944785276,0.05128205128205128,0
0.6428571428571432,0.06648199445983378,0.14723926380368096,0.017094017094017096,0
0.5714285714285716,0.2271468144044321,0.16564417177914112,0.08547008547008547,3
0.535714285714286,0.4764542936288088,0.25153374233128833,0.2905982905982906,4
0.7500000000000004,0.41274238227146814,0.49079754601226994,0.13675213675213677,2
0.4642857142857144,0.15789473684210525,0.09815950920245399,0.11111111111111112,1
0.3214285714285716,0.19113573407202217,0.09202453987730061,0.2564102564102564,1
0.3214285714285716,0.06648199445983378,0.024539877300613498,0.10256410256410256,1
0.7500000000000004,0.0,0.0,0.0,0
0.5000000000000004,0.13850415512465375,0.10429447852760736,0.17094017094017094,1
0.4285714285714288,0.036011080332409975,0.06134969325153374,0.08547008547008547,1
0.7142857142857144,0.047091412742382266,0.11042944785276074,0.02564102564102564,0
0.7142857142857144,0.07202216066481995,0.12883435582822086,0.042735042735042736,0
0.7500000000000004,0.12188365650969529,0.4049079754601227,0.06837606837606838,3
0.3571428571428572,0.10526315789473684,0.05521472392638037,0.17094017094017094,1
0.5714285714285716,0.16620498614958448,0.09815950920245399,0.06837606837606838,0
0.4285714285714288,0.08310249307479224,0.06134969325153374,0.20512820512820512,1
0.6071428571428572,0.4155124653739612,0.2822085889570552,0.15384615384615385,3
0.7142857142857144,0.1412742382271468,0.25153374233128833,0.05128205128205128,3
0.4285714285714288,0.2936288088642659,0.19631901840490798,0.20512820512820512,1
0.7142857142857144,0.1966759002770083,0.6809815950920245,0.07692307692307693,2
0.5714285714285716,0.1772853185595568,0.1411042944785276,0.09401709401709403,0
0.7500000000000004,0.07202216066481995,0.17177914110429446,0.03418803418803419,0
0.535714285714286,0.21606648199445982,0.13496932515337423,0.1452991452991453,1
0.4285714285714288,0.0997229916897507,0.06748466257668712,0.1452991452991453,1
0.4285714285714288,0.027700831024930747,0.0,0.0,0
0.6071428571428572,0.3462603878116343,0.1901840490797546,0.1794871794871795,3
0.3571428571428572,0.10803324099722991,0.07361963190184048,0.1282051282051282,1
0.4642857142857144,0.2770083102493075,0.11042944785276074,0.3675213675213675,1
0.6428571428571432,0.23545706371191136,0.38650306748466257,0.07692307692307693,3
0.7142857142857144,0.0,0.12269938650306748,0.0,0
0.6785714285714288,0.5013850415512465,0.6196319018404908,0.2905982905982906,2
0.6428571428571432,0.22160664819944598,0.29447852760736193,0.23076923076923078,3
0.6785714285714288,0.46537396121883656,0.3987730061349693,0.3760683760683761,2
0.5714285714285716,0.08310249307479224,0.1411042944785276,0.02564102564102564,0
0.4642857142857144,0.06648199445983378,0.049079754601226995,0.0,0
0.5714285714285716,0.07202216066481995,0.03680981595092024,0.03418803418803419,0
0.6428571428571432,0.05263157894736842,0.1165644171779141,0.05128205128205128,0
0.7142857142857144,0.38781163434903043,0.5153374233128835,0.1623931623931624,2
0.6071428571428572,0.5041551246537396,0.39263803680981596,0.1623931623931624,2
0.6785714285714288,0.30193905817174516,0.2331288343558282,0.08547008547008547,3
0.6071428571428572,0.07756232686980609,0.12883435582822086,0.02564102564102564,0
0.6071428571428572,0.09695290858725761,0.15337423312883436,0.03418803418803419,0
0.25,0.060941828254847646,0.024539877300613498,0.11111111111111112,1
0.5000000000000004,0.06925207756232687,0.042944785276073615,0.05128205128205128,0
0.5714285714285716,0.08587257617728532,0.07975460122699386,0.03418803418803419,0
0.6071428571428572,0.12465373961218837,0.17791411042944785,0.08547008547008547,0
0.6428571428571432,0.20221606648199444,0.27607361963190186,0.07692307692307693,3
0.535714285714286,0.40166204986149584,0.32515337423312884,0.3333333333333333,4
0.8214285714285716,0.368421052631579,0.7116564417177914,0.11965811965811965,2
0.5000000000000004,0.4099722991689751,0.1901840490797546,0.1452991452991453,3
0.7500000000000004,0.1412742382271468,0.34969325153374237,0.02564102564102564,3
0.3571428571428572,0.08033240997229917,0.12269938650306748,0.059829059829059825,1
0.7142857142857144,0.047091412742382266,0.05521472392638037,0.017094017094017096,0
0.7142857142857144,0.22160664819944598,0.5092024539877301,0.1282051282051282,3
0.39285714285714324,0.12465373961218837,0.06134969325153374,0.20512820512820512,1
0.5000000000000004,0.13850415512465375,0.06748466257668712,0.07692307692307693,1
0.6785714285714288,0.26869806094182824,0.3558282208588957,0.10256410256410256,3
0.5000000000000004,0.44598337950138506,0.24539877300613497,0.22222222222222224,4
0.6785714285714288,0.038781163434903045,0.17177914110429446,0.02564102564102564,0
0.6785714285714288,0.055401662049861494,0.09815950920245399,0.02564102564102564,0
0.6071428571428572,0.20221606648199444,0.11042944785276074,0.19658119658119658,1
0.6071428571428572,0.3296398891966759,0.26380368098159507,0.24786324786324787,3
0.39285714285714324,0.22991689750692523,0.09815950920245399,0.15384615384615385,1
0.535714285714286,0.002770083102493075,0.049079754601226995,0.03418803418803419,0
0.6071428571428572,0.10249307479224377,0.31901840490797545,0.05128205128205128,3
0.5714285714285716,0.09418282548476453,0.12269938650306748,0.11965811965811965,0
0.535714285714286,0.13850415512465375,0.11042944785276074,0.07692307692307693,0
0.6071428571428572,0.20221606648199444,0.24539877300613497,0.10256410256410256,3
0.4642857142857144,0.30193905817174516,0.27607361963190186,0.7692307692307693,4
0.5714285714285716,0.06648199445983378,0.06134969325153374,0.02564102564102564,0
0.6428571428571432,0.37119113573407203,0.8282208588957055,0.10256410256410256,2
0.5000000000000004,0.0997229916897507,0.09202453987730061,0.08547008547008547,0
0.4642857142857144,0.40166204986149584,0.17791411042944785,0.3760683760683761,4
0.4642857142857144,0.13850415512465375,0.03067484662576687,0.11965811965811965,1
0.7142857142857144,0.11357340720221605,0.17177914110429446,0.017094017094017096,0
0.6785714285714288,0.3490304709141274,0.5521472392638037,0.20512820512820512,2
0.4285714285714288,0.3850415512465374,0.2392638036809816,0.2564102564102564,4
0.7142857142857144,0.05263157894736842,0.09202453987730061,0.017094017094017096,0
0.6071428571428572,0.18559556786703602,0.09202453987730061,0.03418803418803419,0
0.6785714285714288,0.04986149584487535,0.049079754601226995,0.0,0
0.4285714285714288,0.10803324099722991,0.08588957055214723,0.13675213675213677,1
0.4642857142857144,0.6038781163434903,0.2822085889570552,0.6068376068376068,4
0.6071428571428572,0.2991689750692521,0.31901840490797545,0.09401709401709403,3
0.4285714285714288,0.10526315789473684,0.07975460122699386,0.02564102564102564,1
0.6071428571428572,0.22991689750692523,0.39263803680981596,0.1623931623931624,3
0.6071428571428572,0.2825484764542936,0.17177914110429446,0.1452991452991453,3
0.7500000000000004,0.07756232686980609,0.10429447852760736,0.02564102564102564,0
0.535714285714286,0.2936288088642659,0.13496932515337423,0.18803418803418806,1
1.0,0.2936288088642659,0.4049079754601227,0.03418803418803419,3
0.6071428571428572,0.7423822714681441,0.24539877300613497,0.17094017094017094,2
0.6428571428571432,0.13296398891966757,0.12269938650306748,0.07692307692307693,0
0.5714285714285716,0.5844875346260388,0.38650306748466257,0.26495726495726496,2
0.6428571428571432,0.13850415512465375,0.2085889570552147,0.05128205128205128,0
0.6785714285714288,0.10803324099722991,0.3374233128834356,0.03418803418803419,3
0.3571428571428572,0.2631578947368421,0.17177914110429446,0.5384615384615384,4
0.785714285714286,0.055401662049861494,0.1165644171779141,0.02564102564102564,0
0.7142857142857144,0.09695290858725761,0.14723926380368096,0.03418803418803419,0
0.4642857142857144,0.09141274238227146,0.03067484662576687,0.03418803418803419,0
0.535714285714286,0.26592797783933514,0.2147239263803681,0.1282051282051282,3
0.8214285714285716,0.20221606648199444,0.4478527607361963,0.03418803418803419,3
0.7500000000000004,0.6426592797783933,0.5644171779141104,0.2564102564102564,2
0.6428571428571432,0.11357340720221605,0.20245398773006135,0.07692307692307693,0
0.39285714285714324,0.1523545706371191,0.11042944785276074,0.2393162393162393,1
0.6071428571428572,0.5927977839335179,0.5521472392638037,0.6239316239316239,4
0.39285714285714324,0.21052631578947367,0.1411042944785276,0.27350427350427353,1
0.7142857142857144,0.22160664819944598,0.4478527607361963,0.05128205128205128,3
0.6428571428571432,0.03324099722991689,0.03680981595092024,0.02564102564102564,0
0.6071428571428572,0.036011080332409975,0.10429447852760736,0.008547008547008548,0
0.28571428571428603,0.29085872576177285,0.1165644171779141,0.5811965811965812,4
0.39285714285714324,0.2188365650969529,0.09202453987730061,0.22222222222222224,1
0.6428571428571432,0.04155124653739612,0.08588957055214723,0.0,0
0.6428571428571432,0.030470914127423823,0.10429447852760736,0.008547008547008548,0
0.7500000000000004,0.09141274238227146,0.1411042944785276,0.02564102564102564,0
0.7500000000000004,0.12742382271468142,0.12883435582822086,0.059829059829059825,0
0.6428571428571432,0.3047091412742382,0.3619631901840491,0.2393162393162393,3
0.39285714285714324,0.16897506925207756,0.1411042944785276,0.24786324786324787,1
0.7142857142857144,0.19390581717451522,0.22699386503067487,0.11111111111111112,3
0.4642857142857144,0.21606648199445982,0.1901840490797546,0.1623931623931624,1
0.6071428571428572,0.21052631578947367,0.3374233128834356,0.1623931623931624,3
0.5000000000000004,0.25484764542936283,0.2331288343558282,0.41025641025641024,4
0.3214285714285716,0.08033240997229917,0.049079754601226995,0.2564102564102564,1
